lcz_lib,lcz_code,insee,commune,expo_jour,expo_nuit,vulnerabilite_jour,vulnerabilite_nuit,surface,gid
Roche nue,,,,,,,,,
Grandes emprises tertiaires bâti bas,LCZ 8,69275,Décines-Charpieu,moyen,faible,moyen,moyen,126634,
Arbres denses,LCZ A,69244,Tassin-la-Demi-Lune,effet rafraîchissant,effet rafraîchissant,faible,faible,36686,
Grandes emprises tertiaires bâti bas,LCZ 8,69256,Vaulx-en-Velin,moyen,faible,moyen,moyen,49531,
Ensemble de maisons espacées,LCZ 6,69266,Villeurbanne,moyen,faible,moyen,moyen,24337,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,10185,
Maisons éparses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,16209,
Maisons éparses,,,,,,,,,
Ensemble de maisons espacées,LCZ 6,69202,Sainte-Foy-lès-Lyon,moyen,faible,fort,moyen,78988,
Ensemble d'immeubles compact,LCZ 2,69387,Lyon 7e Arrondissement,fort,fort,fort,fort,8466,
Ensemble d'immeubles compact,LCZ 2,69389,Lyon 9e Arrondissement,fort,fort,fort,fort,22015,
Ensemble de maisons espacées,LCZ 6,69034,Caluire-et-Cuire,moyen,faible,moyen,moyen,284875,
Ensemble de maisons espacées,LCZ 6,69142,La Mulatière,effet rafraîchissant,effet rafraîchissant,faible,faible,19320,
Ensemble de tours espacées,LCZ 4,69389,Lyon 9e Arrondissement,moyen,fort,moyen,moyen,2658,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,moyen,fort,moyen,8641,
Ensemble d'immeubles espacés,LCZ 5,69259,Vénissieux,fort,moyen,moyen,moyen,624,
Ensemble de tours espacées,LCZ 4,69387,Lyon 7e Arrondissement,fort,fort,moyen,moyen,4150,
Ensemble de tours espacées,LCZ 4,69386,Lyon 6e Arrondissement,fort,fort,moyen,moyen,8568,
Ensemble d'immeubles compact,LCZ 2,69383,Lyon 3e Arrondissement,fort,fort,fort,fort,2937,
Maisons éparses,,,,,,,,,
Maisons éparses,,,,,,,,,
Ensemble de tours espacées,LCZ 4,69381,Lyon 1er Arrondissement,moyen,fort,moyen,fort,49005,
Ensemble de tours espacées,LCZ 4,69256,Vaulx-en-Velin,moyen,moyen,fort,fort,4366,
Ensemble de maisons espacées,LCZ 6,69383,Lyon 3e Arrondissement,moyen,faible,moyen,moyen,15197,
Pelouses,,,,,,,,,
Ensemble d'immeubles compact,LCZ 2,69381,Lyon 1er Arrondissement,fort,fort,fort,fort,6801,
Ensemble d'immeubles espacés,LCZ 5,69282,Meyzieu,fort,faible,fort,fort,11350,
Ensemble d'immeubles compact,LCZ 2,69385,Lyon 5e Arrondissement,fort,moyen,fort,fort,207200,
Ensemble d'immeubles compact,LCZ 2,69386,Lyon 6e Arrondissement,fort,fort,fort,fort,8585,
Pelouses,,,,,,,,,
