lcz_lib;lcz_code;insee;commune;expo_jour;expo_nuit;vulnerabilite_jour;vulnerabilite_nuit;surface;gid
Roche nue, pavés, macadam;LCZ E;69163;Quincieux;moyen;faible;moyen;moyen;657,68;1
Grandes emprises tertiaires bâti bas;LCZ 8;69275;Décines-Charpieu;moyen;faible;moyen;moyen;126634,97;2
Arbres denses;LCZ A;69244;Tassin-la-Demi-Lune;effet rafraîchissant;effet rafraîchissant;faible;faible;36686,44;5
Grandes emprises tertiaires bâti bas;LCZ 8;69256;Vaulx-en-Velin;moyen;faible;moyen;moyen;49531,34;6
Ensemble de maisons espacées;LCZ 6;69266;Villeurbanne;moyen;faible;moyen;moyen;24337,35;7
Ensemble d'immeubles compact;LCZ 2;69381;Lyon 1er Arrondissement;fort;fort;fort;fort;10185,7;8
Maisons éparses, constructions isolées;LCZ 9;69282;Meyzieu;moyen;faible;moyen;moyen;67249,84;3
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;16209,29;4
Maisons éparses, constructions isolées;LCZ 9;69279;Jonage;moyen;faible;moyen;moyen;98528,89;751
Ensemble de maisons espacées;LCZ 6;69202;Sainte-Foy-lès-Lyon;moyen;faible;fort;moyen;78988,24;9
Ensemble d'immeubles compact;LCZ 2;69387;Lyon 7e Arrondissement;fort;fort;fort;fort;8466,3;36
Ensemble d'immeubles compact;LCZ 2;69389;Lyon 9e Arrondissement;fort;fort;fort;fort;22015,63;69
Ensemble de maisons espacées;LCZ 6;69034;Caluire-et-Cuire;moyen;faible;moyen;moyen;284875,43;3921
Ensemble de maisons espacées;LCZ 6;69142;La Mulatière;effet rafraîchissant;effet rafraîchissant;faible;faible;19320,54;10
Ensemble de tours espacées;LCZ 4;69389;Lyon 9e Arrondissement;moyen;fort;moyen;moyen;2658,88;11
Ensemble d'immeubles compact;LCZ 2;69383;Lyon 3e Arrondissement;fort;moyen;fort;moyen;8641,92;12
Ensemble d'immeubles espacés;LCZ 5;69259;Vénissieux;fort;moyen;moyen;moyen;624,72;13
Ensemble de tours espacées;LCZ 4;69387;Lyon 7e Arrondissement;fort;fort;moyen;moyen;4150,48;14
Ensemble de tours espacées;LCZ 4;69386;Lyon 6e Arrondissement;fort;fort;moyen;moyen;8568,49;15
